# Sample of 1000 probability pixels from cumulative_reduced3Dmap-64nside-2000max-100step.npz using dist method
# dec,ra,d_l,weight
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.921704,0.883573,600.000000,8.41435706e-11
1.910633,0.871301,500.000000,8.01011191e-11
1.910633,0.871301,500.000000,8.01011191e-11
1.910633,0.871301,500.000000,8.01011191e-11
1.910633,0.871301,500.000000,8.01011191e-11
1.910633,0.871301,500.000000,8.01011191e-11
1.910633,0.871301,500.000000,8.01011191e-11
1.910633,0.871301,500.000000,8.01011191e-11
1.932819,0.871301,500.000000,7.89053104e-11
1.932819,0.871301,500.000000,7.89053104e-11
1.932819,0.871301,500.000000,7.89053104e-11
1.932819,0.871301,500.000000,7.89053104e-11
1.932819,0.871301,500.000000,7.89053104e-11
1.932819,0.871301,500.000000,7.89053104e-11
1.932819,0.871301,500.000000,7.89053104e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.899606,0.859029,500.000000,7.21428767e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.921704,0.859029,700.000000,6.91402046e-11
1.910633,0.871301,700.000000,6.65762793e-11
1.910633,0.871301,700.000000,6.65762793e-11
1.910633,0.871301,700.000000,6.65762793e-11
1.910633,0.871301,700.000000,6.65762793e-11
