# Highest 10000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
0.516016,5.183628,1350.000000,1.26896036e+03
2.300524,4.221515,1260.000000,1.26876290e+03
2.834198,3.403392,1350.000000,1.26840645e+03
2.625576,2.670354,1260.000000,1.26803023e+03
2.625576,2.042035,1320.000000,1.26780089e+03
2.519224,2.487094,1290.000000,1.26764325e+03
0.516016,0.157080,1260.000000,1.26682011e+03
0.947970,0.196350,1320.000000,1.26660167e+03
1.487366,0.785398,1400.000000,1.26608207e+03
2.625576,2.356194,1390.000000,1.26494235e+03
0.730574,1.009798,1310.000000,1.26446986e+03
0.730574,2.356194,1320.000000,1.26265552e+03
2.411019,4.151390,1390.000000,1.26206729e+03
0.622368,5.366887,1310.000000,1.26172153e+03
0.622368,0.654498,1300.000000,1.26007107e+03
0.516016,1.099557,1350.000000,1.25990525e+03
2.730455,3.337942,1340.000000,1.25904623e+03
2.730455,3.337942,1340.000000,1.25904623e+03
2.730455,3.337942,1340.000000,1.25904623e+03
2.519224,3.796091,1360.000000,1.25855483e+03
0.516016,5.183628,1340.000000,1.25816204e+03
0.841069,3.828816,1390.000000,1.25771164e+03
2.834198,3.403392,1340.000000,1.25705139e+03
2.834198,3.403392,1340.000000,1.25705139e+03
0.307395,5.497787,1240.000000,1.25637678e+03
0.730574,3.029393,1330.000000,1.25597445e+03
2.730455,2.945243,1380.000000,1.25470471e+03
0.622368,3.010693,1340.000000,1.25265786e+03
1.141021,4.712389,1370.000000,1.25247157e+03
0.622368,1.439897,1370.000000,1.25171713e+03
0.622368,1.439897,1370.000000,1.25171713e+03
0.841069,5.792311,1370.000000,1.25157768e+03
2.730455,2.552544,1340.000000,1.25125137e+03
0.841069,0.098175,1350.000000,1.25080191e+03
0.516016,6.126106,1220.000000,1.25046739e+03
0.411138,5.694137,1390.000000,1.25033741e+03
0.102106,2.356194,1390.000000,1.24981724e+03
0.411138,5.301438,1230.000000,1.24962782e+03
0.411138,5.301438,1230.000000,1.24962782e+03
2.411019,5.722187,1270.000000,1.24929678e+03
2.519224,0.130900,1360.000000,1.24758610e+03
2.625576,2.042035,1300.000000,1.24744852e+03
2.519224,3.796091,1350.000000,1.24730325e+03
2.411019,0.785398,1350.000000,1.24715790e+03
0.841069,0.687223,1360.000000,1.24699088e+03
2.730455,3.337942,1330.000000,1.24679978e+03
0.730574,0.785398,1350.000000,1.24486346e+03
2.625576,2.356194,1370.000000,1.24473353e+03
0.307395,3.403392,1220.000000,1.24387260e+03
2.519224,2.487094,1270.000000,1.24363634e+03
0.307395,4.974188,1400.000000,1.24331525e+03
2.411019,2.804993,1330.000000,1.24322302e+03
2.411019,2.356194,1300.000000,1.24223147e+03
2.519224,1.701696,1400.000000,1.24219758e+03
0.622368,0.392699,1360.000000,1.24159962e+03
2.625576,2.670354,1240.000000,1.24143941e+03
2.411019,3.029393,1370.000000,1.24098397e+03
0.622368,3.010693,1330.000000,1.24084820e+03
0.411138,0.196350,1230.000000,1.24069897e+03
0.841069,1.276272,1270.000000,1.24051446e+03
2.834198,3.926991,1370.000000,1.24024317e+03
0.516016,5.811946,1290.000000,1.23981785e+03
0.841069,0.294524,1250.000000,1.23945098e+03
0.411138,5.694137,1380.000000,1.23918512e+03
0.411138,5.694137,1380.000000,1.23918512e+03
2.411019,0.785398,1340.000000,1.23755033e+03
0.516016,1.099557,1330.000000,1.23730503e+03
0.516016,1.099557,1330.000000,1.23730503e+03
0.622368,2.225295,1310.000000,1.23719795e+03
2.625576,2.042035,1290.000000,1.23719290e+03
2.193623,2.552544,1400.000000,1.23696316e+03
2.193623,2.552544,1400.000000,1.23696316e+03
0.622368,5.366887,1290.000000,1.23641903e+03
0.622368,5.366887,1290.000000,1.23641903e+03
0.730574,4.824589,1390.000000,1.23621785e+03
0.730574,0.112200,1360.000000,1.23587063e+03
1.487366,0.785398,1370.000000,1.23468701e+03
0.622368,6.152286,1350.000000,1.23424558e+03
0.622368,6.152286,1350.000000,1.23424558e+03
2.519224,2.748894,1290.000000,1.23420139e+03
0.204480,0.392699,1400.000000,1.23364221e+03
2.519224,0.654498,1400.000000,1.23331118e+03
0.730574,3.029393,1310.000000,1.23310353e+03
0.622368,0.130900,1380.000000,1.23294311e+03
0.307395,4.974188,1390.000000,1.23290163e+03
0.841069,5.595962,1350.000000,1.23273487e+03
0.841069,5.595962,1350.000000,1.23273487e+03
2.411019,2.580594,1400.000000,1.23224762e+03
2.411019,2.804993,1320.000000,1.23221129e+03
2.411019,2.804993,1320.000000,1.23221129e+03
0.841069,2.258020,1360.000000,1.23212856e+03
0.947970,5.694137,1290.000000,1.23187200e+03
2.411019,2.356194,1290.000000,1.23158639e+03
0.730574,1.234197,1370.000000,1.23109254e+03
2.411019,3.029393,1360.000000,1.23080171e+03
2.834198,3.926991,1360.000000,1.23021895e+03
2.834198,3.926991,1360.000000,1.23021895e+03
0.622368,0.392699,1350.000000,1.22995215e+03
0.516016,3.298672,1380.000000,1.22952995e+03
0.516016,5.811946,1280.000000,1.22907656e+03
0.307395,5.497787,1220.000000,1.22892844e+03
0.307395,5.497787,1220.000000,1.22892844e+03
2.730455,4.123340,1400.000000,1.22884814e+03
2.625576,5.811946,1390.000000,1.22874689e+03
2.519224,6.152286,1340.000000,1.22822295e+03
2.411019,0.785398,1330.000000,1.22788756e+03
0.730574,4.151390,1390.000000,1.22726520e+03
0.841069,1.079922,1340.000000,1.22721769e+03
2.625576,2.042035,1280.000000,1.22688472e+03
0.730574,0.560999,1270.000000,1.22563752e+03
0.307395,0.261799,1250.000000,1.22559305e+03
0.516016,5.183628,1310.000000,1.22553449e+03
0.411138,4.908739,1400.000000,1.22527004e+03
2.519224,3.796091,1330.000000,1.22471344e+03
2.519224,0.654498,1390.000000,1.22406121e+03
0.841069,2.454369,1380.000000,1.22385687e+03
0.622368,1.963495,1390.000000,1.22336506e+03
0.622368,6.152286,1340.000000,1.22316063e+03
0.204480,0.392699,1390.000000,1.22313924e+03
0.730574,5.946586,1380.000000,1.22308829e+03
1.570796,4.221515,1380.000000,1.22306791e+03
2.519224,4.581489,1340.000000,1.22205516e+03
2.519224,2.748894,1280.000000,1.22187575e+03
2.411019,4.375790,1250.000000,1.22168316e+03
2.411019,4.375790,1250.000000,1.22168316e+03
0.730574,3.029393,1300.000000,1.22163586e+03
0.730574,3.029393,1300.000000,1.22163586e+03
0.730574,3.029393,1300.000000,1.22163586e+03
1.141021,4.712389,1340.000000,1.22133103e+03
2.411019,2.580594,1390.000000,1.22130236e+03
2.411019,2.804993,1310.000000,1.22116748e+03
0.622368,0.130900,1370.000000,1.22106788e+03
2.411019,2.356194,1280.000000,1.22088853e+03
0.622368,1.439897,1340.000000,1.22069398e+03
0.730574,0.785398,1330.000000,1.22058342e+03
0.102106,3.926991,1340.000000,1.22012060e+03
0.102106,3.926991,1340.000000,1.22012060e+03
2.300524,5.792311,1290.000000,1.22005371e+03
2.300524,5.792311,1290.000000,1.22005371e+03
0.307395,2.879793,1400.000000,1.21965514e+03
2.519224,2.487094,1250.000000,1.21945931e+03
