# Highest 5000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
2.411019,3.029393,1310.000000,1.17894988e+03
0.730574,2.804993,1380.000000,1.17888955e+03
0.204480,1.963495,1370.000000,1.17863766e+03
2.625576,2.984513,1230.000000,1.17831949e+03
2.411019,2.356194,1240.000000,1.17758310e+03
0.622368,1.963495,1340.000000,1.17735637e+03
0.204480,1.178097,1270.000000,1.17726983e+03
2.625576,1.727876,1350.000000,1.17722886e+03
0.730574,4.824589,1330.000000,1.17702724e+03
0.516016,6.126106,1170.000000,1.17602962e+03
2.300524,3.632467,1390.000000,1.17593201e+03
2.411019,1.682996,1340.000000,1.17540478e+03
0.947970,0.589049,1320.000000,1.17493371e+03
0.516016,5.811946,1230.000000,1.17465396e+03
2.625576,2.042035,1230.000000,1.17456692e+03
0.102106,5.497787,1360.000000,1.17452178e+03
1.910633,4.614214,1400.000000,1.17366139e+03
2.519224,1.701696,1330.000000,1.17302470e+03
0.730574,4.151390,1340.000000,1.17263545e+03
2.625576,2.356194,1300.000000,1.17228376e+03
2.519224,2.225295,1370.000000,1.17224416e+03
2.519224,2.225295,1370.000000,1.17224416e+03
0.841069,4.025166,1350.000000,1.17219955e+03
2.300524,0.883573,1370.000000,1.17176664e+03
0.411138,0.196350,1180.000000,1.17158677e+03
0.204480,3.534292,1250.000000,1.16965977e+03
0.622368,0.916298,1400.000000,1.16934537e+03
2.519224,4.581489,1290.000000,1.16920655e+03
0.730574,5.946586,1330.000000,1.16906966e+03
2.411019,0.785398,1270.000000,1.16875631e+03
1.141021,0.785398,1400.000000,1.16794114e+03
2.411019,4.600189,1360.000000,1.16736462e+03
0.622368,6.152286,1290.000000,1.16727797e+03
2.625576,3.298672,1380.000000,1.16684135e+03
2.411019,1.682996,1330.000000,1.16591348e+03
2.519224,5.890486,1350.000000,1.16589880e+03
2.519224,5.628687,1300.000000,1.16570092e+03
1.570796,0.490874,1380.000000,1.16538526e+03
0.516016,4.555309,1380.000000,1.16505985e+03
0.730574,0.560999,1220.000000,1.16466368e+03
0.947970,5.694137,1230.000000,1.16454402e+03
2.094395,0.098175,1400.000000,1.16422122e+03
1.047198,5.792311,1320.000000,1.16393520e+03
2.730455,3.730641,1350.000000,1.16383178e+03
2.937112,1.963495,1380.000000,1.16359343e+03
2.519224,2.225295,1360.000000,1.16325719e+03
2.193623,2.356194,1400.000000,1.16324577e+03
2.193623,2.356194,1400.000000,1.16324577e+03
3.039486,2.356194,1400.000000,1.16249107e+03
2.300524,0.687223,1330.000000,1.16188596e+03
0.730574,0.785398,1280.000000,1.15966358e+03
0.622368,0.392699,1290.000000,1.15941640e+03
2.300524,4.221515,1170.000000,1.15935547e+03
0.411138,5.301438,1160.000000,1.15876710e+03
3.039486,5.497787,1350.000000,1.15833669e+03
3.039486,5.497787,1350.000000,1.15833669e+03
2.300524,2.454369,1380.000000,1.15832090e+03
2.519224,0.654498,1320.000000,1.15825896e+03
0.730574,3.926991,1230.000000,1.15807965e+03
0.622368,3.010693,1260.000000,1.15778087e+03
0.841069,5.792311,1280.000000,1.15748937e+03
2.834198,4.974188,1380.000000,1.15710615e+03
2.834198,4.974188,1380.000000,1.15710615e+03
2.834198,4.974188,1380.000000,1.15710615e+03
2.411019,1.682996,1320.000000,1.15637260e+03
0.622368,6.152286,1280.000000,1.15601557e+03
1.570796,0.490874,1370.000000,1.15599467e+03
1.570796,4.221515,1310.000000,1.15592640e+03
0.102106,0.785398,1340.000000,1.15568187e+03
2.300524,4.025166,1390.000000,1.15557708e+03
2.300524,4.614214,1370.000000,1.15432081e+03
0.411138,0.589049,1240.000000,1.15421087e+03
2.000572,3.534292,1340.000000,1.15416440e+03
0.411138,1.767146,1360.000000,1.15401102e+03
2.519224,1.701696,1310.000000,1.15281091e+03
0.730574,3.029393,1240.000000,1.15241880e+03
0.730574,5.722187,1270.000000,1.15107616e+03
2.411019,5.722187,1190.000000,1.15013775e+03
3.039486,5.497787,1340.000000,1.14965133e+03
2.519224,0.654498,1310.000000,1.14871418e+03
0.841069,3.043418,1380.000000,1.14820691e+03
0.947970,1.374447,1370.000000,1.14815933e+03
2.625576,2.670354,1170.000000,1.14787117e+03
2.519224,4.581489,1270.000000,1.14786313e+03
2.094395,0.098175,1380.000000,1.14783886e+03
0.622368,0.392699,1280.000000,1.14756083e+03
0.622368,5.366887,1220.000000,1.14730659e+03
0.841069,1.079922,1270.000000,1.14558301e+03
1.910633,4.614214,1370.000000,1.14555616e+03
0.516016,1.727876,1330.000000,1.14467880e+03
2.730455,1.374447,1350.000000,1.14463178e+03
0.947970,5.890486,1400.000000,1.14462254e+03
0.516016,2.356194,1330.000000,1.14429783e+03
0.622368,4.581489,1310.000000,1.14423871e+03
0.730574,0.336599,1200.000000,1.14379835e+03
0.411138,1.767146,1350.000000,1.14373251e+03
2.937112,3.534292,1300.000000,1.14348336e+03
2.300524,5.792311,1220.000000,1.14256097e+03
0.622368,0.654498,1210.000000,1.14080703e+03
2.300524,2.847068,1310.000000,1.14055254e+03
2.193623,2.356194,1370.000000,1.13986597e+03
2.519224,0.130900,1270.000000,1.13979865e+03
2.625576,0.157080,1400.000000,1.13970792e+03
0.730574,5.722187,1260.000000,1.13931467e+03
0.841069,0.883573,1360.000000,1.13931068e+03
0.622368,1.963495,1300.000000,1.13930808e+03
2.519224,0.654498,1300.000000,1.13913478e+03
0.841069,4.025166,1320.000000,1.13897367e+03
2.834198,4.974188,1360.000000,1.13842120e+03
2.411019,5.722187,1180.000000,1.13768771e+03
2.411019,1.682996,1300.000000,1.13714417e+03
0.411138,3.730641,1380.000000,1.13711541e+03
2.519224,3.010693,1240.000000,1.13703047e+03
1.141021,0.000000,1390.000000,1.13682754e+03
0.730574,6.170986,1310.000000,1.13662876e+03
0.307395,0.261799,1180.000000,1.13661812e+03
0.841069,0.098175,1250.000000,1.13661460e+03
0.841069,5.792311,1260.000000,1.13628987e+03
0.622368,1.439897,1260.000000,1.13619962e+03
0.307395,3.403392,1140.000000,1.13588838e+03
0.204480,3.534292,1220.000000,1.13471010e+03
1.570796,0.883573,1350.000000,1.13350245e+03
0.411138,4.908739,1310.000000,1.13327891e+03
2.730455,6.086836,1360.000000,1.13304574e+03
0.307395,0.785398,1380.000000,1.13226032e+03
2.411019,1.907396,1400.000000,1.13172381e+03
0.516016,6.126106,1140.000000,1.13136047e+03
2.730455,4.908739,1330.000000,1.13056145e+03
1.047198,1.865321,1400.000000,1.13054480e+03
2.519224,6.152286,1250.000000,1.13041268e+03
1.318116,6.086836,1390.000000,1.12926705e+03
0.841069,3.043418,1360.000000,1.12901887e+03
1.141021,0.000000,1380.000000,1.12854794e+03
0.730574,0.560999,1190.000000,1.12787211e+03
0.841069,4.025166,1310.000000,1.12781425e+03
0.841069,4.025166,1310.000000,1.12781425e+03
1.487366,0.785398,1270.000000,1.12780539e+03
0.947970,0.981748,1370.000000,1.12718186e+03
0.730574,2.580594,1290.000000,1.12674332e+03
1.141021,3.730641,1380.000000,1.12607486e+03
0.841069,5.006913,1400.000000,1.12587349e+03
0.622368,4.581489,1290.000000,1.12446828e+03
0.947970,0.196350,1200.000000,1.12417740e+03
2.625576,3.298672,1340.000000,1.12392184e+03
0.730574,3.926991,1200.000000,1.12347260e+03
1.738244,0.294524,1340.000000,1.12343456e+03
1.141021,3.926991,1300.000000,1.12318600e+03
2.625576,4.869469,1350.000000,1.12227352e+03
2.519224,1.701696,1280.000000,1.12214714e+03
2.411019,2.580594,1300.000000,1.12201391e+03
0.622368,3.010693,1230.000000,1.12201355e+03
2.519224,5.628687,1260.000000,1.12157913e+03
2.300524,3.043418,1400.000000,1.12148001e+03
2.625576,1.727876,1290.000000,1.12081841e+03
2.625576,6.126106,1220.000000,1.12077154e+03
2.411019,4.151390,1270.000000,1.12075217e+03
0.841069,3.043418,1350.000000,1.11937448e+03
0.204480,2.748894,1350.000000,1.11917105e+03
0.411138,2.945243,1370.000000,1.11842199e+03
0.841069,3.828816,1260.000000,1.11769222e+03
0.204480,1.178097,1220.000000,1.11685632e+03
2.519224,4.319690,1330.000000,1.11651475e+03
0.622368,1.178097,1330.000000,1.11648432e+03
0.307395,2.879793,1300.000000,1.11570182e+03
0.622368,4.581489,1280.000000,1.11453036e+03
0.841069,6.185011,1390.000000,1.11450267e+03
1.141021,4.712389,1240.000000,1.11415262e+03
0.411138,5.694137,1270.000000,1.11390591e+03
2.300524,4.417865,1210.000000,1.11372951e+03
2.730455,3.730641,1300.000000,1.11125283e+03
2.519224,0.654498,1270.000000,1.11019395e+03
0.947970,0.589049,1260.000000,1.10997450e+03
1.823477,5.301438,1360.000000,1.10987782e+03
2.300524,2.454369,1330.000000,1.10970591e+03
2.000572,0.196350,1400.000000,1.10959148e+03
1.141021,0.785398,1340.000000,1.10938423e+03
2.193623,3.730641,1360.000000,1.10892231e+03
0.516016,0.471239,1330.000000,1.10873125e+03
0.411138,2.945243,1360.000000,1.10870971e+03
0.516016,1.727876,1290.000000,1.10789223e+03
0.841069,2.258020,1250.000000,1.10761229e+03
2.730455,2.945243,1250.000000,1.10711422e+03
0.947970,0.000000,1350.000000,1.10708541e+03
2.094395,6.185011,1340.000000,1.10645057e+03
2.625576,0.157080,1370.000000,1.10600118e+03
0.730574,3.029393,1200.000000,1.10593059e+03
2.625576,4.241150,1310.000000,1.10555405e+03
1.738244,0.294524,1320.000000,1.10464140e+03
1.910633,3.632467,1380.000000,1.10433607e+03
1.910633,3.632467,1380.000000,1.10433607e+03
0.841069,5.988661,1340.000000,1.10431109e+03
3.039486,2.356194,1330.000000,1.10426505e+03
1.141021,3.730641,1350.000000,1.10354924e+03
1.141021,0.000000,1350.000000,1.10337111e+03
1.487366,0.589049,1360.000000,1.10263419e+03
1.738244,4.614214,1390.000000,1.10217852e+03
0.516016,2.042035,1300.000000,1.10191302e+03
0.622368,0.654498,1180.000000,1.10100218e+03
2.730455,3.730641,1290.000000,1.10058917e+03
2.300524,5.988661,1370.000000,1.10035614e+03
2.193623,3.337942,1370.000000,1.10001878e+03
2.730455,4.123340,1270.000000,1.09985234e+03
0.841069,1.079922,1230.000000,1.09860857e+03
0.841069,5.399612,1400.000000,1.09845121e+03
0.516016,2.984513,1360.000000,1.09838850e+03
2.300524,3.828816,1320.000000,1.09761491e+03
2.834198,2.879793,1270.000000,1.09758085e+03
2.519224,2.748894,1180.000000,1.09715294e+03
2.519224,2.487094,1150.000000,1.09639508e+03
0.947970,5.694137,1170.000000,1.09566620e+03
3.039486,2.356194,1320.000000,1.09564671e+03
2.730455,2.945243,1240.000000,1.09555997e+03
1.047198,0.098175,1260.000000,1.09527240e+03
1.047198,0.098175,1260.000000,1.09527240e+03
1.487366,0.785398,1240.000000,1.09515239e+03
1.487366,0.785398,1240.000000,1.09515239e+03
1.318116,0.589049,1330.000000,1.09506928e+03
1.318116,0.589049,1330.000000,1.09506928e+03
0.947970,3.926991,1350.000000,1.09484565e+03
0.622368,4.581489,1260.000000,1.09455229e+03
0.841069,4.025166,1280.000000,1.09410001e+03
