# Highest 5000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
0.411138,5.301438,6.000000,2.42181547e+04
0.411138,5.301438,6.000000,2.42181547e+04
0.516016,2.670354,7.000000,2.41443624e+04
0.516016,1.727876,7.000000,2.41314121e+04
0.516016,1.727876,7.000000,2.41314121e+04
0.204480,1.963495,7.000000,2.40981388e+04
0.204480,1.963495,7.000000,2.40981388e+04
0.841069,1.472622,7.000000,2.40839892e+04
0.841069,1.472622,7.000000,2.40839892e+04
0.841069,1.472622,7.000000,2.40839892e+04
0.841069,1.472622,7.000000,2.40839892e+04
0.841069,1.472622,7.000000,2.40839892e+04
1.654226,0.196350,7.000000,2.40656300e+04
1.654226,0.196350,7.000000,2.40656300e+04
1.654226,0.196350,7.000000,2.40656300e+04
0.307395,5.497787,6.000000,2.40282612e+04
0.307395,5.497787,6.000000,2.40282612e+04
0.307395,5.497787,6.000000,2.40282612e+04
3.039486,5.497787,7.000000,2.40118991e+04
0.730574,2.804993,7.000000,2.39951338e+04
0.730574,2.804993,7.000000,2.39951338e+04
0.730574,2.804993,7.000000,2.39951338e+04
0.730574,2.804993,7.000000,2.39951338e+04
0.411138,0.196350,6.000000,2.39852407e+04
0.411138,0.196350,6.000000,2.39852407e+04
0.411138,0.196350,6.000000,2.39852407e+04
0.411138,0.196350,6.000000,2.39852407e+04
0.411138,0.196350,6.000000,2.39852407e+04
2.300524,0.883573,7.000000,2.39690127e+04
2.300524,0.883573,7.000000,2.39690127e+04
2.300524,0.883573,7.000000,2.39690127e+04
2.300524,0.883573,7.000000,2.39690127e+04
2.300524,0.883573,7.000000,2.39690127e+04
2.300524,5.399612,7.000000,2.39473916e+04
2.300524,5.399612,7.000000,2.39473916e+04
2.300524,5.595962,7.000000,2.39428979e+04
2.300524,5.595962,7.000000,2.39428979e+04
2.300524,5.595962,7.000000,2.39428979e+04
2.411019,5.497787,6.000000,2.39359496e+04
2.411019,5.497787,6.000000,2.39359496e+04
2.411019,5.497787,6.000000,2.39359496e+04
2.411019,5.497787,6.000000,2.39359496e+04
1.654226,4.319690,7.000000,2.39348762e+04
1.654226,4.319690,7.000000,2.39348762e+04
1.654226,4.319690,7.000000,2.39348762e+04
1.654226,4.319690,7.000000,2.39348762e+04
2.625576,4.241150,7.000000,2.39131243e+04
2.625576,4.241150,7.000000,2.39131243e+04
2.625576,4.241150,7.000000,2.39131243e+04
2.625576,4.241150,7.000000,2.39131243e+04
0.411138,1.767146,7.000000,2.38958783e+04
0.411138,1.767146,7.000000,2.38958783e+04
0.411138,1.767146,7.000000,2.38958783e+04
2.193623,5.890486,7.000000,2.38799715e+04
2.193623,5.890486,7.000000,2.38799715e+04
2.730455,4.908739,7.000000,2.38294852e+04
2.730455,4.908739,7.000000,2.38294852e+04
2.730455,4.908739,7.000000,2.38294852e+04
2.730455,4.908739,7.000000,2.38294852e+04
2.730455,4.908739,7.000000,2.38294852e+04
2.411019,3.478192,6.000000,2.38047279e+04
2.730455,1.374447,7.000000,2.37867532e+04
2.730455,1.374447,7.000000,2.37867532e+04
2.730455,1.374447,7.000000,2.37867532e+04
2.730455,1.374447,7.000000,2.37867532e+04
2.625576,3.298672,7.000000,2.37626797e+04
2.625576,3.298672,7.000000,2.37626797e+04
2.625576,2.670354,6.000000,2.37609909e+04
2.625576,2.670354,6.000000,2.37609909e+04
2.625576,2.670354,6.000000,2.37609909e+04
0.622368,2.748894,7.000000,2.37379540e+04
0.622368,2.748894,7.000000,2.37379540e+04
2.300524,3.632467,7.000000,2.37246854e+04
2.300524,3.632467,7.000000,2.37246854e+04
2.300524,3.632467,7.000000,2.37246854e+04
2.300524,3.632467,7.000000,2.37246854e+04
2.300524,3.632467,7.000000,2.37246854e+04
2.937112,4.319690,7.000000,2.37209148e+04
2.937112,4.319690,7.000000,2.37209148e+04
2.937112,4.319690,7.000000,2.37209148e+04
2.937112,4.319690,7.000000,2.37209148e+04
2.937112,4.319690,7.000000,2.37209148e+04
0.516016,2.042035,7.000000,2.36964968e+04
0.516016,2.042035,7.000000,2.36964968e+04
1.570796,0.490874,7.000000,2.36808705e+04
2.300524,4.614214,7.000000,2.36806945e+04
2.300524,4.614214,7.000000,2.36806945e+04
0.516016,0.157080,6.000000,2.36805475e+04
0.516016,0.157080,6.000000,2.36805475e+04
0.516016,0.157080,6.000000,2.36805475e+04
2.730455,5.301438,7.000000,2.36791728e+04
2.730455,5.301438,7.000000,2.36791728e+04
0.622368,1.178097,7.000000,2.36776285e+04
1.570796,0.883573,7.000000,2.36430232e+04
1.570796,0.883573,7.000000,2.36430232e+04
1.570796,0.883573,7.000000,2.36430232e+04
2.937112,1.963495,7.000000,2.36427624e+04
2.937112,1.963495,7.000000,2.36427624e+04
0.516016,4.555309,7.000000,2.36423457e+04
0.841069,0.883573,7.000000,2.36138832e+04
1.738244,0.294524,7.000000,2.35747264e+04
